customer_id,gender,age,income,purchase_amt,quantity,region,churn,order_date
1001,Male,20,43909.33,84.17,27,West,0,2022-01-01 00:00:00
1002,Female,24,47931.86,317.08,48,South,0,2022-01-01 01:00:00
1003,Female,42,36427.12,28.02,3,South,0,2022-01-01 02:00:00
1004,Female,23,38993.46,139.91,12,West,1,2022-01-01 03:00:00
1005,Male,51,62818.78,,47,North,0,2022-01-01 04:00:00
1006,Male,37,57369.08,131.37,30,North,0,2022-01-01 05:00:00
1007,Male,39,63848.56,8.55,12,West,0,2022-01-01 06:00:00
1008,Female,34,,106.53,41,East,0,2022-01-01 07:00:00
1009,Female,47,67678.09,23.79,42,West,0,2022-01-01 08:00:00
1010,Female,47,70807.85,5.0,40,West,0,2022-01-01 09:00:00
1011,Male,42,23649.1,48.95,45,North,1,2022-01-01 10:00:00
1012,Other,44,39622.43,37.13,22,South,1,2022-01-01 11:00:00
1013,Female,35,50835.23,186.58,15,East,0,2022-01-01 12:00:00
1014,Male,44,54591.8,56.15,28,South,0,2022-01-01 13:00:00
1015,Female,33,42938.37,158.44,17,South,0,2022-01-01 14:00:00
1016,Male,38,71416.43,5.0,44,East,0,2022-01-01 15:00:00
1017,Male,34,90639.07,5.0,48,West,0,2022-01-01 16:00:00
1018,Female,32,58350.92,5.0,25,West,0,2022-01-01 17:00:00
1019,Male,29,56518.14,29.72,43,South,0,2022-01-01 18:00:00
1020,Male,43,70290.21,56.21,45,South,0,2022-01-01 19:00:00
1021,Female,53,21414.88,112.33,3,East,0,2022-01-01 20:00:00
1022,Male,52,55512.44,511.51,36,North,0,2022-01-01 21:00:00
1023,Male,22,72622.64,52.51,31,East,0,2022-01-01 22:00:00
1024,Male,53,43423.23,6.87,15,East,0,2022-01-01 23:00:00
1025,Female,34,32921.91,26.01,46,East,1,2022-01-02 00:00:00
1026,Female,45,51655.5,273.76,28,North,1,2022-01-02 01:00:00
1027,Male,27,53907.66,144.23,43,West,0,2022-01-02 02:00:00
1028,Female,39,38644.26,187.39,31,East,0,2022-01-02 03:00:00
1029,Female,41,92730.9,15.91,45,North,1,2022-01-02 04:00:00
1030,Male,20,46383.47,17.4,20,South,0,2022-01-02 05:00:00
1031,Female,45,34234.13,14.29,50,East,1,2022-01-02 06:00:00
1032,Male,54,53314.82,233.53,45,South,0,2022-01-02 07:00:00
1033,Male,35,71341.49,28.28,21,South,1,2022-01-02 08:00:00
1034,Female,54,55313.46,123.65,27,North,0,2022-01-02 09:00:00
1035,Other,35,63740.69,87.12,19,South,0,2022-01-02 10:00:00
1036,Female,48,39312.81,94.33,36,South,0,2022-01-02 11:00:00
1037,Male,18,81778.39,26.09,12,East,0,2022-01-02 12:00:00
1038,Male,67,65110.8,121.02,35,South,0,2022-01-02 13:00:00
1039,Female,55,73858.63,5.29,48,East,0,2022-01-02 14:00:00
1040,Male,34,61572.89,603.8,33,South,1,2022-01-02 15:00:00
1041,Male,18,69847.91,5.0,36,West,0,2022-01-02 16:00:00
1042,Female,41,39285.05,6.17,41,West,0,2022-01-02 17:00:00
1043,Male,20,46154.61,47.1,23,North,0,2022-01-02 18:00:00
1044,Female,43,79236.65,213.79,13,South,0,2022-01-02 19:00:00
1045,Male,42,83075.36,35.68,30,North,0,2022-01-02 20:00:00
1046,Female,26,34352.82,76.62,10,East,1,2022-01-02 21:00:00
1047,Male,51,59495.25,5.0,41,East,0,2022-01-02 22:00:00
1048,Female,47,47243.01,9.86,20,South,1,2022-01-02 23:00:00
1049,Female,49,42453.43,112.37,6,South,0,2022-01-03 00:00:00
1050,Male,38,60127.11,25.93,31,West,0,2022-01-03 01:00:00
1051,Other,21,75537.33,142.2,19,East,0,2022-01-03 02:00:00
1052,Female,49,63129.92,184.67,3,East,0,2022-01-03 03:00:00
1053,Female,34,49248.78,227.92,10,East,1,2022-01-03 04:00:00
1054,Female,21,64267.5,17.24,10,North,0,2022-01-03 05:00:00
1055,Female,54,48520.43,72.95,21,South,0,2022-01-03 06:00:00
1056,Female,63,62418.06,352.68,2,East,0,2022-01-03 07:00:00
1057,Male,37,80136.38,177.45,45,East,0,2022-01-03 08:00:00
1058,Male,63,17611.13,14.93,39,South,1,2022-01-03 09:00:00
1059,Male,39,69350.54,83.78,45,South,0,2022-01-03 10:00:00
1060,Male,33,27297.01,306.71,30,North,0,2022-01-03 11:00:00
1061,Male,30,77109.9,69.59,46,West,0,2022-01-03 12:00:00
1062,Male,57,43533.54,217.99,28,East,0,2022-01-03 13:00:00
1063,Female,28,33081.92,82.18,18,West,1,2022-01-03 14:00:00
1064,Male,46,67514.85,13.55,14,South,0,2022-01-03 15:00:00
1065,Male,31,61555.06,19.2,45,West,0,2022-01-03 16:00:00
1066,Female,32,37014.64,5.74,19,North,0,2022-01-03 17:00:00
1067,Male,50,32446.0,26.08,40,West,1,2022-01-03 18:00:00
1068,Female,33,51625.33,268.88,36,East,0,2022-01-03 19:00:00
1069,Male,33,33326.43,126.05,41,North,0,2022-01-03 20:00:00
1070,Other,51,35893.49,161.12,12,South,0,2022-01-03 21:00:00
1071,Female,57,57081.17,116.64,20,North,0,2022-01-03 22:00:00
1072,Male,45,37614.31,58.64,34,East,1,2022-01-03 23:00:00
1073,Male,30,62677.71,29.33,36,South,0,2022-01-04 00:00:00
1074,Female,31,81822.58,311.82,21,West,0,2022-01-04 01:00:00
1075,Female,38,52326.0,86.79,19,East,0,2022-01-04 02:00:00
1076,Female,41,57342.72,78.73,41,North,0,2022-01-04 03:00:00
1077,Female,26,91325.74,665.74,41,North,0,2022-01-04 04:00:00
1078,Male,46,33623.18,58.13,43,North,1,2022-01-04 05:00:00
1079,Male,39,76442.23,231.0,42,South,0,2022-01-04 06:00:00
1080,Male,18,74275.44,237.96,35,North,1,2022-01-04 07:00:00
1081,Female,26,70377.71,31.78,8,South,0,2022-01-04 08:00:00
1082,Female,31,78251.46,11.96,22,North,0,2022-01-04 09:00:00
1083,Male,37,60050.35,445.68,43,North,0,2022-01-04 10:00:00
1084,Male,60,44507.27,66.59,38,South,0,2022-01-04 11:00:00
1085,Male,40,74702.32,5.0,18,South,0,2022-01-04 12:00:00
1086,Male,27,75391.16,82.94,8,South,0,2022-01-04 13:00:00
1087,Female,40,74895.65,115.89,2,East,0,2022-01-04 14:00:00
1088,Female,33,55801.04,179.58,20,West,0,2022-01-04 15:00:00
1089,Female,41,42108.5,343.64,5,North,0,2022-01-04 16:00:00
1090,Male,44,58444.52,296.05,42,East,0,2022-01-04 17:00:00
1091,Male,52,71960.14,337.88,30,West,0,2022-01-04 18:00:00
1092,Female,37,73438.33,5.0,18,North,0,2022-01-04 19:00:00
1093,Female,57,47265.83,149.28,44,North,1,2022-01-04 20:00:00
1094,Female,48,60676.71,30.72,23,North,1,2022-01-04 21:00:00
1095,Female,29,31441.99,24.92,2,West,1,2022-01-04 22:00:00
1096,Female,64,72729.1,193.32,42,North,0,2022-01-04 23:00:00
1097,Female,41,40900.44,64.77,44,East,1,2022-01-05 00:00:00
1098,Male,27,69134.6,298.09,37,North,0,2022-01-05 01:00:00
1099,Male,57,34312.52,5.2,42,East,1,2022-01-05 02:00:00
1100,Male,62,73565.49,194.45,32,South,0,2022-01-05 03:00:00
1101,Male,37,60793.03,17.66,1,West,0,2022-01-05 04:00:00
1102,Female,31,40935.56,23.31,39,East,0,2022-01-05 05:00:00
